"State_UT","Year","IPC_Cases"
"Andhra Pradesh",2019,119229
"Assam",2019,123512
"Bihar",2019,197935
"Chhattisgarh",2019,61256
"Gujarat",2019,139503
"Haryana",2019,111323
"Jharkhand",2019,50048
"Karnataka",2019,120165
"Kerala",2019,175810
"Madhya Pradesh",2019,246470
"Maharashtra",2019,341084
"Odisha",2019,96033
"Punjab",2019,44697
"Rajasthan",2019,225306
"Tamil Nadu",2019,168116
"Telangana",2019,118338
"Uttar Pradesh",2019,353131
"West Bengal",2019,157506
"Delhi",2019,299475
"Andhra Pradesh",2020,188997
"Assam",2020,111558
"Bihar",2020,194698
"Chhattisgarh",2020,65216
"Gujarat",2020,381849
"Haryana",2020,103276
"Jharkhand",2020,51033
"Karnataka",2020,106350
"Kerala",2020,149099
"Madhya Pradesh",2020,283881
"Maharashtra",2020,394017
"Odisha",2020,108533
"Punjab",2020,49870
"Rajasthan",2020,193279
"Tamil Nadu",2020,891700
"Telangana",2020,135885
"Uttar Pradesh",2020,355110
"West Bengal",2020,158060
"Delhi",2020,249192
"Andhra Pradesh",2021,179611
"Assam",2021,119883
"Bihar",2021,186006
"Chhattisgarh",2021,70519
"Gujarat",2021,273056
"Haryana",2021,112720
"Jharkhand",2021,47684
"Karnataka",2021,115728
"Kerala",2021,142643
"Madhya Pradesh",2021,304066
"Maharashtra",2021,367218
"Odisha",2021,124956
"Punjab",2021,46454
"Rajasthan",2021,214552
"Tamil Nadu",2021,322852
"Telangana",2021,146131
"Uttar Pradesh",2021,357905
"West Bengal",2021,157498
"Delhi",2021,291904
